London,Seattle
0.04583333333333334,0.05416666666666666
0.07678571428571429,0.8184523809523809
0.018452380952380953,0.2708333333333333
0.0,0.09345238095238095
0.0005952380952380953,0.002380952380952381
0.05416666666666666,0.06726190476190477
0.08511904761904762,0.007142857142857143
0.16428571428571428,0.06607142857142857
0.02678571428571429,0.13690476190476192
0.15535714285714286,0.4773809523809524
0.03928571428571429,0.041666666666666664
0.07142857142857142,0.21250000000000002
0.0005952380952380953,0.1636904761904762
0.04583333333333334,0.03571428571428571
0.07678571428571429,0.21666666666666665
0.03214285714285715,0.06726190476190477
0.0011904761904761906,0.12678571428571428
0.0125,0.11666666666666667
0.04285714285714286,0.21607142857142855
0.1761904761904762,0.19345238095238096
0.22499999999999998,0.08214285714285714
0.04285714285714286,0.16428571428571428
0.0761904761904762,0.24702380952380953
0.20238095238095238,0.1988095238095238
0.06785714285714287,0.05952380952380952
0.025595238095238095,0.0125
0.03869047619047619,0.02142857142857143
0.0,0.02619047619047619
0.0023809523809523807,0.004761904761904762
0.05892857142857143,0.0011904761904761906
0.01488095238095238,0.0
0.0011904761904761906,0.0035714285714285718
0.0,0.05654761904761905
0.04107142857142857,0.002380952380952381
0.1261904761904762,0.026785714285714284
0.022619047619047622,0.002976190476190476
0.14583333333333334,0.005952380952380952
0.058333333333333334,0.023214285714285715
0.018452380952380953,0.004761904761904762
0.06071428571428571,0.025595238095238095
0.01011904761904762,0.0
0.13333333333333333,0.0
0.20416666666666666,0.11964285714285715
0.06488095238095239,0.22857142857142856
0.4035714285714286,0.4416666666666667
0.03630952380952381,0.07678571428571429
0.2625,0.0
0.16904761904761906,0.23035714285714287
0.020833333333333332,0.2642857142857143
0.004166666666666667,0.2113095238095238
0.060119047619047614,0.01011904761904762
0.10714285714285714,0.37202380952380953
0.17083333333333334,0.5375000000000001
